closed,volume,order,price,tcc,bid,ttf,win,date,slow_ema,deal,symbol,etf,exit_params,ecc,ask,entry_ema,expected_profit,name,actual_profit,fast_ema
False,0.16,8239973396,0.91008,1344,0.91008,TIMEFRAME_M5,False,2025-02-10 14:20:00.464643,34,8147178890,USDCHF,TIMEFRAME_M5,"{'timeframe': <TimeFrame.M5: 5>, 'count': 1344, 'ema': 5}",4032,0.91022,5,10.2,FingerTrap,0,8
False,0.21,8239973397,0.8332,1344,0.83307,TIMEFRAME_M5,False,2025-02-10 14:20:00.613661,34,8147178891,EURGBP,TIMEFRAME_M5,"{'timeframe': <TimeFrame.M5: 5>, 'count': 1344, 'ema': 5}",4032,0.8332,5,10.4,FingerTrap,0,8
False,0.08,8239987228,0.62822,1344,0.62804,TIMEFRAME_M5,False,2025-02-10 14:35:00.530267,34,8147192497,AUDUSD,TIMEFRAME_M5,"{'timeframe': <TimeFrame.M5: 5>, 'count': 1344, 'ema': 5}",4032,0.62822,5,11.28,FingerTrap,0,8
False,0.17,8239991820,0.56534,1344,0.56534,TIMEFRAME_M5,False,2025-02-10 14:40:00.369428,34,8147197069,NZDUSD,TIMEFRAME_M5,"{'timeframe': <TimeFrame.M5: 5>, 'count': 1344, 'ema': 5}",4032,0.56554,5,10.03,FingerTrap,0,8
False,0.22,8239997236,151.636,1344,151.636,TIMEFRAME_M2,False,2025-02-10 14:46:01.518903,34,8147202299,USDJPY,TIMEFRAME_M1,"{'timeframe': <TimeFrame.M5: 5>, 'count': 1344, 'ema': 5}",4032,151.658,5,10.16,FingerTrap,0,8
False,0.19,8239997243,156.305,1344,156.305,TIMEFRAME_M2,False,2025-02-10 14:46:02.119324,34,8147202322,EURJPY,TIMEFRAME_M1,"{'timeframe': <TimeFrame.M5: 5>, 'count': 1344, 'ema': 5}",4032,156.329,5,10.52,FingerTrap,0,8
False,0.22,8239997253,0.9381,1344,0.9381,TIMEFRAME_M2,False,2025-02-10 14:46:02.119324,34,8147202323,EURCHF,TIMEFRAME_M1,"{'timeframe': <TimeFrame.M5: 5>, 'count': 1344, 'ema': 5}",4032,0.93826,5,10.39,FingerTrap,0,8
False,0.22,8239997255,0.83278,1344,0.83278,TIMEFRAME_M2,False,2025-02-10 14:46:02.298325,34,8147202324,EURGBP,TIMEFRAME_M1,"{'timeframe': <TimeFrame.M5: 5>, 'count': 1344, 'ema': 5}",4032,0.83291,5,10.35,FingerTrap,0,8
False,0.08,8240001329,1.43422,1344,1.43402,TIMEFRAME_M2,False,2025-02-10 14:50:00.646007,34,8147206233,USDCAD,TIMEFRAME_M1,"{'timeframe': <TimeFrame.M5: 5>, 'count': 1344, 'ema': 5}",4032,1.43422,5,10.47,FingerTrap,0,8
False,0.22,8240002986,0.91006,1344,0.91006,TIMEFRAME_M2,False,2025-02-10 14:52:00.396341,34,8147207876,USDCHF,TIMEFRAME_M1,"{'timeframe': <TimeFrame.M5: 5>, 'count': 1344, 'ema': 5}",4032,0.9102,5,10.4,FingerTrap,0,8
False,0.17,8240003856,156.293,1344,156.293,TIMEFRAME_M2,False,2025-02-10 14:53:00.540331,34,8147208770,EURJPY,TIMEFRAME_M1,"{'timeframe': <TimeFrame.M5: 5>, 'count': 1344, 'ema': 5}",4032,156.318,5,10.43,FingerTrap,0,8
False,0.25,8240003857,0.62816,1344,0.62798,TIMEFRAME_M2,False,2025-02-10 14:53:00.541333,34,8147208771,AUDUSD,TIMEFRAME_M1,"{'timeframe': <TimeFrame.M5: 5>, 'count': 1344, 'ema': 5}",4032,0.62816,5,10.25,FingerTrap,0,8
False,0.24,8240003860,0.83281,1344,0.83281,TIMEFRAME_M2,False,2025-02-10 14:53:00.724440,34,8147208779,EURGBP,TIMEFRAME_M1,"{'timeframe': <TimeFrame.M5: 5>, 'count': 1344, 'ema': 5}",4032,0.83295,5,10.1,FingerTrap,0,8
False,0.14,8240005472,151.599,1344,151.599,TIMEFRAME_M2,False,2025-02-10 14:55:00.267827,34,8147210391,USDJPY,TIMEFRAME_M1,"{'timeframe': <TimeFrame.M5: 5>, 'count': 1344, 'ema': 5}",4032,151.621,5,10.63,FingerTrap,0,8
False,0.22,8240009807,0.56558,1344,0.56539,TIMEFRAME_M2,False,2025-02-10 15:00:00.455602,34,8147214749,NZDUSD,TIMEFRAME_M1,"{'timeframe': <TimeFrame.M5: 5>, 'count': 1344, 'ema': 5}",4032,0.56558,5,10.12,FingerTrap,0,8
False,0.17,8240010838,151.622,1344,151.622,TIMEFRAME_M2,False,2025-02-10 15:01:00.339351,34,8147215754,USDJPY,TIMEFRAME_M1,"{'timeframe': <TimeFrame.M5: 5>, 'count': 1344, 'ema': 5}",4032,151.644,5,10.32,FingerTrap,0,8
False,0.14,8240016585,151.6,1344,151.6,TIMEFRAME_M2,False,2025-02-10 15:08:00.631824,34,8147221479,USDJPY,TIMEFRAME_M1,,4032,151.622,5,10.54,FingerTrap,0,8
False,0.15,8240019192,0.62865,1344,0.62847,TIMEFRAME_M2,False,2025-02-10 15:11:00.604786,34,8147224062,AUDUSD,TIMEFRAME_M1,,4032,0.62865,5,10.35,FingerTrap,0,8
False,0.17,8240019193,0.56591,1344,0.56571,TIMEFRAME_M2,False,2025-02-10 15:11:00.619964,34,8147224063,NZDUSD,TIMEFRAME_M1,,4032,0.56591,5,10.03,FingerTrap,0,8
False,0.08,8240019196,1.03171,1344,1.03155,TIMEFRAME_M2,False,2025-02-10 15:11:00.758831,34,8147224071,EURUSD,TIMEFRAME_M1,,4032,1.03171,5,10.16,FingerTrap,0,8
False,0.12,8240019203,0.93912,1344,0.93896,TIMEFRAME_M2,False,2025-02-10 15:11:01.039022,34,8147224076,EURCHF,TIMEFRAME_M1,,4032,0.93912,5,10.15,FingerTrap,0,8
False,0.07,8240019200,1.23864,1344,1.23849,TIMEFRAME_M2,False,2025-02-10 15:11:01.039022,34,8147224073,GBPUSD,TIMEFRAME_M1,,4032,1.23864,5,10.64,FingerTrap,0,8
False,0.23,8240023169,1.43319,1344,1.43319,TIMEFRAME_M2,False,2025-02-10 15:16:00.295008,34,8147228005,USDCAD,TIMEFRAME_M1,,4032,1.43339,5,10.44,FingerTrap,0,8
False,0.36,8240031744,156.42,1344,156.42,TIMEFRAME_M2,False,2025-02-10 15:26:00.261217,34,8147236573,EURJPY,TIMEFRAME_M1,,4032,156.443,5,10.21,FingerTrap,0,8
